customer_id,gender,senior_citizen,tenure,contract_type,internet_service,payment_method,monthly_charges,total_charges,num_products,support_calls,churn
CUST00176,Female,0,56,Month-to-month,Fiber optic,Bank transfer,78.0,,2,,0
CUST00177,Male,0,17,Two year,No,Credit card,76.15,1282.44,4,8.0,0
CUST00178,Female,0,38,Month-to-month,No,Bank transfer,76.07,2929.51,3,1.0,0
CUST00179,Female,0,24,One year,DSL,Credit card,80.35,1896.86,4,3.0,0
CUST00180,Female,1,69,Month-to-month,DSL,Bank transfer,87.65,6051.13,3,,0
CUST00181,Male,0,70,Month-to-month,DSL,Credit card,100.5,7095.44,2,1.0,0
CUST00182,Female,0,11,Month-to-month,Fiber optic,Bank transfer,46.98,503.35,1,9.0,0
CUST00183,Male,0,16,One year,No,Credit card,102.5,1610.54,5,0.0,0
CUST00184,Female,0,59,Month-to-month,DSL,Bank transfer,69.83,4152.46,2,9.0,0
CUST00185,Male,1,70,One year,DSL,Mailed check,27.71,1971.19,1,7.0,0
CUST00186,Male,0,3,Month-to-month,No,Credit card,25.86,50.13,2,8.0,1
CUST00187,Male,0,20,One year,Fiber optic,Mailed check,53.42,969.2,4,6.0,0
CUST00188,Female,0,59,One year,No,Credit card,98.49,5780.39,3,7.0,0
CUST00189,Female,0,36,Month-to-month,DSL,Credit card,90.77,3301.52,2,3.0,0
CUST00190,Male,0,19,Month-to-month,Fiber optic,Credit card,98.86,1839.62,1,3.0,1
CUST00191,Female,1,67,Month-to-month,DSL,Electronic check,71.73,4805.16,4,1.0,0
CUST00192,Female,0,19,Month-to-month,DSL,Bank transfer,64.02,1183.5,5,7.0,0
CUST00193,Female,0,20,One year,Fiber optic,Mailed check,34.75,598.3,4,1.0,0
CUST00194,Male,1,71,Month-to-month,DSL,Mailed check,52.82,3716.39,3,8.0,0
CUST00195,Male,0,52,Month-to-month,DSL,Credit card,63.4,3330.56,4,3.0,0
CUST00196,Female,0,33,One year,No,Mailed check,28.86,833.87,5,0.0,0
CUST00197,Male,0,40,Month-to-month,DSL,Mailed check,42.06,1695.06,1,3.0,1
CUST00198,Female,0,39,Two year,Fiber optic,Mailed check,79.82,3053.78,2,2.0,0
CUST00199,Female,1,1,Month-to-month,DSL,Mailed check,93.57,123.99,3,5.0,0
CUST00200,Male,0,11,Two year,Fiber optic,Electronic check,119.83,1353.9,5,6.0,0
CUST00201,Male,0,57,Month-to-month,DSL,Credit card,113.31,6450.15,3,7.0,0
CUST00202,Female,0,50,Month-to-month,Fiber optic,Mailed check,84.26,4204.34,4,1.0,0
CUST00203,Female,0,23,Month-to-month,DSL,Electronic check,62.12,1388.55,3,5.0,0
CUST00204,Female,0,31,Month-to-month,Fiber optic,Electronic check,83.62,2524.87,5,5.0,1
CUST00205,Male,0,42,Month-to-month,Fiber optic,Credit card,98.57,4224.64,2,9.0,1
CUST00206,Male,0,7,Month-to-month,DSL,Bank transfer,31.83,179.58,2,4.0,1
CUST00207,Female,0,16,One year,DSL,Bank transfer,60.99,1054.24,3,9.0,1
CUST00208,Female,0,60,Month-to-month,No,Bank transfer,103.98,6195.84,1,9.0,0
CUST00209,Male,0,2,One year,No,Mailed check,58.38,143.03,3,6.0,0
CUST00210,Female,0,1,Month-to-month,DSL,Credit card,77.19,20.3,4,2.0,0
CUST00211,Male,0,48,Two year,DSL,Bank transfer,78.78,3807.46,2,3.0,0
CUST00212,Male,0,12,Month-to-month,DSL,Mailed check,38.45,445.09,2,9.0,0
CUST00213,Female,0,69,Month-to-month,DSL,Credit card,56.22,3863.8,2,8.0,0
CUST00214,Female,0,37,Month-to-month,No,Mailed check,53.45,2008.19,1,3.0,0
CUST00215,Male,0,32,Month-to-month,Fiber optic,Bank transfer,22.62,700.37,1,2.0,1
CUST00216,Female,0,9,Month-to-month,Fiber optic,Bank transfer,22.42,130.37,5,1.0,1
CUST00217,Male,0,19,Month-to-month,No,Electronic check,103.17,1998.29,3,4.0,1
CUST00218,Male,1,48,One year,Fiber optic,Electronic check,47.31,2213.44,3,3.0,0
CUST00219,Male,0,3,Two year,Fiber optic,Credit card,71.81,241.25,4,7.0,0
CUST00220,Female,1,20,Month-to-month,DSL,Mailed check,49.87,1046.1,2,6.0,1
CUST00221,Female,0,24,Two year,DSL,Mailed check,114.07,2718.86,1,5.0,0
CUST00222,Female,1,54,Two year,Fiber optic,Bank transfer,,2539.32,4,1.0,0
CUST00223,Male,0,33,Two year,DSL,Bank transfer,62.97,2101.96,4,2.0,0
CUST00224,Male,0,24,Month-to-month,DSL,Credit card,107.27,2539.76,1,9.0,1
CUST00225,Male,1,72,Month-to-month,DSL,Electronic check,104.19,7571.99,3,8.0,1
CUST00226,Male,0,36,Month-to-month,DSL,Bank transfer,38.61,1332.88,2,8.0,0
CUST00227,Female,0,38,One year,Fiber optic,Mailed check,100.26,3791.21,3,4.0,1
CUST00228,Female,0,25,Month-to-month,Fiber optic,Bank transfer,65.82,1635.15,4,2.0,0
CUST00229,Female,0,18,Month-to-month,DSL,Electronic check,68.3,1259.61,2,1.0,0
CUST00230,Male,0,66,Month-to-month,DSL,Mailed check,33.35,2256.74,5,7.0,1
CUST00231,Male,0,54,Month-to-month,Fiber optic,Electronic check,28.06,1567.89,4,5.0,1
CUST00232,Female,0,35,One year,DSL,Credit card,92.79,3258.97,3,9.0,0
CUST00233,Male,0,61,Month-to-month,Fiber optic,Credit card,69.65,4234.4,3,6.0,0
CUST00234,Female,1,41,One year,Fiber optic,Electronic check,63.69,2519.79,3,0.0,0
CUST00235,Male,0,33,One year,DSL,Mailed check,92.95,3001.67,1,0.0,1
CUST00236,Male,0,68,Month-to-month,Fiber optic,Electronic check,96.55,6653.82,4,9.0,1
CUST00237,Male,0,33,Month-to-month,Fiber optic,Bank transfer,35.89,1092.59,2,1.0,0
CUST00238,Male,1,14,One year,DSL,Bank transfer,81.02,,3,9.0,0
CUST00239,Male,0,21,Month-to-month,DSL,Electronic check,33.54,761.47,3,2.0,1
CUST00240,Female,1,48,Month-to-month,No,Bank transfer,95.14,4577.09,1,0.0,1
CUST00241,Female,0,20,Month-to-month,DSL,Electronic check,85.7,1760.31,2,4.0,0
CUST00242,Female,0,8,One year,Fiber optic,Bank transfer,115.66,952.43,4,2.0,0
CUST00243,Male,0,7,One year,Fiber optic,Electronic check,26.9,261.75,5,0.0,0
CUST00244,Female,0,67,Month-to-month,DSL,Bank transfer,25.71,1737.04,1,7.0,1
CUST00245,Female,0,17,Month-to-month,DSL,Mailed check,48.22,852.89,4,5.0,1
CUST00246,Male,0,33,Month-to-month,Fiber optic,Mailed check,46.17,1487.42,5,8.0,1
CUST00247,Male,0,48,Two year,Fiber optic,Bank transfer,44.7,2174.81,3,2.0,1
CUST00248,Female,0,59,Month-to-month,Fiber optic,Electronic check,110.63,6507.1,3,8.0,0
CUST00249,Female,0,22,Two year,No,Bank transfer,44.95,966.35,2,8.0,0
CUST00250,Female,0,30,Month-to-month,Fiber optic,Credit card,47.19,1460.59,5,0.0,1
CUST00251,Female,0,38,One year,DSL,Credit card,95.94,3690.79,3,2.0,0
CUST00252,Female,0,51,Month-to-month,No,Electronic check,64.97,3398.1,3,5.0,0
CUST00253,Male,0,54,One year,Fiber optic,Bank transfer,97.67,5355.4,2,7.0,0
CUST00254,Female,1,8,Month-to-month,No,Bank transfer,26.54,258.16,4,3.0,0
CUST00255,Female,0,27,One year,Fiber optic,Mailed check,68.76,1770.42,3,4.0,0
CUST00256,Female,0,27,Month-to-month,Fiber optic,Electronic check,23.36,722.14,1,8.0,0
CUST00257,Female,0,21,Month-to-month,Fiber optic,Credit card,26.27,597.47,1,5.0,0
CUST00258,Female,0,30,Month-to-month,DSL,Credit card,110.64,3281.02,4,6.0,1
CUST00259,Female,0,28,Two year,No,Electronic check,,986.33,5,6.0,0
CUST00260,Male,0,64,One year,DSL,Credit card,73.24,4635.63,2,3.0,0
CUST00261,Male,0,69,Month-to-month,DSL,Electronic check,61.11,4247.49,1,3.0,0
CUST00262,Male,0,61,One year,No,Credit card,54.73,3272.98,1,3.0,0
CUST00263,Female,0,48,One year,DSL,Credit card,109.98,5238.79,4,4.0,0
CUST00264,Female,0,19,Two year,No,Electronic check,22.18,456.96,5,4.0,0
CUST00265,Male,0,4,Two year,Fiber optic,Electronic check,86.38,399.16,5,7.0,0
CUST00266,Female,0,35,One year,DSL,Credit card,116.34,4088.15,4,8.0,0
CUST00267,Female,0,64,Month-to-month,Fiber optic,Credit card,76.02,4850.77,1,1.0,0
CUST00268,Female,0,49,One year,Fiber optic,Mailed check,113.68,5464.69,2,6.0,1
CUST00269,Male,1,17,One year,Fiber optic,Bank transfer,25.23,418.39,1,0.0,0
CUST00270,Male,0,44,Two year,No,Electronic check,61.88,2749.36,5,0.0,0
CUST00271,Male,1,30,Month-to-month,No,Electronic check,46.02,1364.64,1,3.0,0
CUST00272,Female,0,46,Month-to-month,DSL,Bank transfer,93.08,4280.65,2,9.0,1
CUST00273,Male,0,6,Month-to-month,DSL,Mailed check,,699.5,3,6.0,1
CUST00274,Male,1,37,One year,No,Credit card,45.65,1673.08,1,1.0,1
CUST00275,Male,0,24,Two year,Fiber optic,Credit card,85.42,2053.81,4,1.0,0
CUST00276,Female,0,46,Month-to-month,DSL,Mailed check,39.81,1817.61,3,0.0,0
CUST00277,Male,1,53,One year,Fiber optic,Mailed check,76.53,4128.41,4,9.0,0
CUST00278,Male,0,60,One year,No,Bank transfer,66.39,3873.27,4,1.0,0
CUST00279,Female,0,63,One year,Fiber optic,Bank transfer,117.2,7356.34,4,6.0,0
CUST00280,Male,1,32,Month-to-month,Fiber optic,Credit card,,2543.77,1,8.0,0
CUST00281,Female,0,33,Two year,Fiber optic,Mailed check,54.95,1824.33,5,5.0,0
CUST00282,Female,0,67,Month-to-month,Fiber optic,Mailed check,31.41,2108.3,3,9.0,0
CUST00283,Male,0,18,One year,No,Credit card,35.12,713.35,2,1.0,0
CUST00284,Male,0,25,Month-to-month,No,Credit card,,1160.85,5,9.0,0
CUST00285,Male,0,54,Month-to-month,Fiber optic,Credit card,45.1,2396.57,1,9.0,1
CUST00286,Female,0,58,Two year,Fiber optic,Credit card,105.06,6093.6,4,8.0,1
CUST00287,Male,0,67,Month-to-month,No,Credit card,76.12,5110.01,2,6.0,1
CUST00288,Male,0,46,Month-to-month,DSL,Bank transfer,72.34,3287.71,3,0.0,0
CUST00289,Male,1,24,One year,DSL,Credit card,31.48,786.86,5,8.0,0
CUST00290,Female,0,32,Month-to-month,No,Mailed check,106.01,3380.47,5,1.0,0
CUST00291,Female,0,47,Month-to-month,DSL,Electronic check,92.28,4283.85,2,3.0,0
CUST00292,Female,0,23,Month-to-month,DSL,Bank transfer,26.77,601.66,1,8.0,1
CUST00293,Male,0,66,Month-to-month,DSL,Mailed check,90.78,5941.83,3,,0
CUST00294,Male,1,27,Month-to-month,DSL,Electronic check,74.35,2059.39,2,2.0,0
CUST00295,Female,0,2,Month-to-month,DSL,Bank transfer,28.17,151.42,4,0.0,0
CUST00296,Male,0,17,Two year,DSL,Credit card,65.83,1131.35,3,6.0,0
CUST00297,Male,0,33,Month-to-month,No,Bank transfer,68.47,2265.06,5,5.0,0
CUST00298,Female,0,9,Month-to-month,Fiber optic,Credit card,36.58,336.82,2,9.0,0
CUST00299,Female,0,43,Month-to-month,Fiber optic,Credit card,114.57,4985.61,5,3.0,1
CUST00300,Female,0,48,Month-to-month,DSL,Credit card,105.0,5097.92,5,5.0,0
CUST00301,Male,0,39,One year,Fiber optic,Electronic check,86.9,3383.4,5,5.0,0
